idUser,rating,idItem
1,3,783
1,1,656
1,3,574
1,3,211
1,1,94
1,5,26
1,4,855
1,2,310
1,5,247
2,1,212
2,1,109
2,4,616
2,5,560
2,2,836
2,3,678
2,2,514
2,3,800
2,2,795
2,1,939
2,1,37
2,5,372
2,5,523
2,4,455
2,2,773
2,3,321
2,2,660
2,4,568
2,4,218
3,2,453
3,1,834
3,3,864
3,5,914
3,2,218
3,1,997
3,4,363
4,5,24
4,1,122
4,4,658
4,3,721
4,5,128
4,5,20
4,5,279
4,3,335
4,2,422
4,4,867
4,1,854
4,5,155
4,4,538
4,2,726
4,1,860
4,5,756
4,5,448
5,1,570
5,3,50
5,3,496
5,4,570
5,5,10
5,2,798
5,2,832
5,3,421
5,4,453
5,2,774
5,5,527
5,4,202
5,5,193
5,4,271
5,4,21
5,4,485
5,1,942
5,4,992
5,1,427
5,3,389
5,2,384
5,4,384
5,4,749
5,4,248
6,5,232
6,1,470
6,1,41
6,2,248
6,5,139
6,5,86
6,2,976
6,1,745
6,4,477
6,2,52
6,1,758
7,5,898
7,1,600
7,5,731
7,2,45
7,1,35
7,5,909
7,4,305
7,4,254
7,2,615
8,4,818
8,2,139
8,2,843
8,2,722
8,3,362
8,1,909
8,4,262
8,4,96
8,4,116
8,2,754
8,4,562
8,2,351
8,1,930
9,2,513
9,5,709
9,4,275
9,3,930
9,5,947
9,3,458
9,5,44
9,5,679
10,3,176
10,4,275
10,5,419
10,2,278
10,5,754
10,1,187
10,4,174
10,4,712
10,1,508
10,5,846
10,5,58
10,3,248
10,5,891
10,4,812
10,5,569
10,1,501
10,1,579
10,4,837
10,3,148
10,5,127
10,4,167
11,3,234
11,5,499
11,5,515
11,2,542
11,2,553
11,3,867
11,5,660
11,4,314
11,2,569
11,4,208
11,2,779
11,1,685
11,1,24
11,3,234
11,4,306
11,2,519
11,3,594
11,5,493
11,4,483
12,5,417
12,5,400
12,3,370
12,2,277
12,2,560
12,2,973
12,1,35
12,5,966
12,2,89
12,2,298
12,4,151
12,3,944
12,4,85
12,1,317
12,4,901
12,4,757
12,5,46
12,4,98
12,4,762
12,3,602
13,4,974
13,2,748
13,3,576
13,4,309
13,3,724
13,2,565
13,4,577
13,1,254
13,3,157
13,2,150
13,5,920
13,4,864
13,4,152
13,4,79
14,4,749
14,1,713
14,2,364
14,3,555
14,4,883
14,5,736
14,1,312
14,4,369
14,5,803
14,3,190
14,3,219
14,4,379
14,1,401
14,5,423
14,3,70
14,3,623
14,5,807
14,4,568
14,2,909
14,4,990
14,4,995
15,3,710
15,4,241
15,5,330
15,4,742
15,4,425
15,5,643
15,3,532
15,4,546
15,2,522
15,3,734
15,3,859
15,2,997
15,3,537
15,3,228
15,5,267
15,1,917
15,2,779
16,3,621
16,2,589
16,5,168
16,3,847
16,3,598
16,3,963
16,3,421
16,2,163
17,3,456
17,5,565
17,3,5
17,3,422
17,1,894
17,4,762
18,2,992
18,4,985
18,2,497
18,5,226
18,2,338
18,3,959
18,3,92
18,4,761
18,1,930
18,4,117
18,2,420
19,1,345
19,4,638
19,5,272
19,5,828
19,4,898
19,5,612
19,1,331
19,2,492
19,3,561
19,4,347
19,2,508
19,2,288
20,3,954
20,3,503
20,2,732
20,2,617
20,1,279
20,5,641
21,2,845
21,5,815
21,1,98
21,5,691
21,3,69
21,4,139
21,5,913
21,3,652
21,5,27
21,2,852
21,5,222
21,2,891
21,1,359
21,2,506
21,2,285
21,5,519
21,1,401
21,3,184
21,4,787
22,3,774
22,3,800
22,4,220
22,3,448
22,1,653
22,3,883
22,1,171
22,3,70
22,5,803
22,2,889
22,2,444
22,1,846
22,4,567
22,2,418
22,5,606
22,1,994
22,3,715
22,5,855
22,1,341
22,2,788
22,2,322
22,2,966
22,2,573
22,2,162
23,5,867
23,1,660
23,3,590
23,1,333
23,4,823
23,5,196
23,3,372
23,2,503
24,3,885
24,1,697
24,5,424
24,1,641
24,5,994
24,1,514
24,4,389
24,2,129
24,5,849
24,3,64
24,5,62
24,5,688
24,2,813
25,2,31
25,4,286
25,5,43
25,5,66
25,5,551
25,4,697
25,2,60
25,5,81
25,1,864
25,1,985
25,3,453
25,3,62
25,3,900
25,1,160
25,5,389
25,2,674
25,2,43
25,4,221
25,2,657
25,5,348
25,4,400
25,3,597
25,4,338
25,1,682
26,2,886
26,5,821
26,2,307
26,2,598
26,3,246
26,4,432
26,1,571
26,1,545
26,3,605
26,4,445
26,1,298
26,1,720
26,4,474
26,1,921
26,1,435
26,3,107
26,1,407
26,4,1
26,2,458
26,3,274
26,3,645
26,4,565
26,3,280
26,4,635
26,5,403
27,2,777
27,3,8
27,2,736
27,2,995
27,1,67
27,3,234
27,3,924
27,3,338
27,5,257
27,1,755
28,5,1
28,4,232
28,1,653
28,3,972
28,5,954
28,3,820
28,5,241
28,3,952
28,2,23
28,3,652
28,2,823
28,4,682
28,2,316
28,5,463
28,3,768
28,2,390
28,3,401
28,1,701
29,1,752
29,4,282
29,2,589
29,4,506
29,3,223
29,5,897
29,1,35
29,5,130
29,1,320
29,1,544
29,2,984
29,5,605
29,5,468
29,1,255
30,3,571
30,3,728
30,1,28
30,1,730
30,5,567
30,3,804
30,5,483
30,4,455
30,1,795
30,3,640
30,2,228
30,2,708
30,1,27
30,4,941
30,5,508
30,2,597
30,3,897
31,1,155
31,2,604
31,2,363
31,4,569
31,4,998
31,4,284
31,2,134
31,1,697
31,2,503
31,3,852
31,2,965
31,2,536
31,1,455
31,1,38
31,3,668
31,4,331
31,3,949
31,1,710
31,1,794
31,5,576
31,4,434
31,3,572
31,5,599
31,1,422
32,5,214
32,2,113
32,2,653
32,3,57
32,3,24
33,2,88
33,5,512
33,4,626
33,4,476
33,2,958
33,1,147
33,2,643
33,4,919
33,1,824
33,2,345
33,1,666
33,4,113
33,5,73
33,3,909
33,5,558
33,3,456
33,4,761
34,5,348
34,5,428
34,1,497
34,3,965
34,3,970
34,2,127
34,4,838
34,1,544
34,3,38
34,3,101
34,5,952
34,3,692
34,2,523
34,4,719
34,2,567
34,2,347
34,1,579
34,5,698
34,3,521
34,5,320
34,3,720
35,2,552
35,4,485
35,2,818
35,4,368
35,2,412
35,2,328
36,4,352
36,3,884
36,5,468
36,2,726
36,4,690
36,2,442
36,3,252
36,4,784
36,5,147
36,1,812
36,5,236
36,3,298
37,3,990
37,3,52
37,3,791
37,4,335
37,4,797
37,2,833
37,3,179
37,4,237
37,5,362
37,2,353
37,1,904
37,1,823
37,5,168
37,4,15
37,3,280
37,4,621
37,4,527
37,4,195
37,2,167
37,3,782
37,2,857
37,2,276
37,1,614
38,2,428
38,5,973
38,5,682
38,5,125
38,5,248
38,1,16
38,3,391
38,2,60
38,4,540
38,4,186
38,5,361
38,4,908
38,5,72
38,2,293
38,2,170
38,5,329
38,4,23
38,4,59
39,4,680
39,3,498
39,1,168
39,2,220
39,1,222
39,3,49
39,1,306
39,5,458
39,4,941
39,4,712
39,1,668
39,4,188
39,5,675
39,2,715
39,5,696
39,2,828
39,3,100
39,2,409
39,5,456
39,2,785
39,2,496
39,3,475
39,4,566
39,3,522
39,4,577
40,2,938
40,5,124
40,1,543
40,3,614
40,3,173
40,1,637
40,4,403
40,3,809
40,4,538
40,3,440
40,2,943
40,3,734
40,5,935
40,5,592
40,5,880
40,1,32
40,4,64
40,4,578
40,4,357
40,2,587
40,2,75
40,2,700
40,5,253
41,1,305
41,2,868
41,4,489
41,4,71
41,1,293
41,5,412
41,5,989
41,2,817
42,2,521
42,1,754
42,3,41
42,2,437
42,1,614
42,2,55
42,3,486
42,5,572
42,5,517
42,1,90
42,1,325
42,3,298
42,3,309
42,1,473
43,2,777
43,3,775
43,4,314
43,5,164
43,3,899
43,3,512
43,4,433
43,4,315
43,4,966
43,5,469
43,2,556
43,1,814
43,2,762
43,5,427
43,5,264
44,1,542
44,1,437
44,2,170
44,3,162
44,4,461
44,3,618
44,5,411
44,1,919
44,4,553
45,3,134
45,5,756
45,5,592
45,1,102
45,2,201
45,3,817
45,1,950
45,5,586
45,4,781
46,1,434
46,1,712
46,5,604
46,5,398
46,5,427
46,3,994
46,3,283
46,2,708
46,3,214
46,1,172
46,5,100
46,1,420
46,3,592
46,2,761
46,5,739
46,4,470
46,4,389
46,1,445
47,5,199
47,1,320
47,3,710
47,1,901
47,4,153
47,3,853
47,4,89
48,2,508
48,3,437
48,4,579
48,1,841
48,3,222
48,4,615
48,5,288
48,2,572
48,2,287
48,4,622
48,2,511
49,4,484
49,5,143
49,4,940
49,4,116
49,4,301
49,4,104
49,1,870
49,3,500
49,3,533
49,2,161
49,1,327
49,2,672
49,4,11
49,5,797
49,4,812
49,4,124
49,3,75
49,4,753
50,4,691
50,2,234
50,3,219
50,1,683
50,4,914
50,5,207
50,3,134
50,2,183
50,1,501
50,1,87
50,4,20
50,5,93
50,1,660
50,2,90
50,1,252
50,5,853
50,2,493
50,2,73
50,1,610
50,2,646
50,3,206
50,5,983
50,2,35
50,3,795
